TC_LOAD_001 | Passed | Load Baseline Response Latency - Home page HTML response latency SLA check (< 200ms) - Scenario #1
TC_LOAD_145 | Passed | Load Peak Load & Throughput - Websocket heartbeat ping-pong latency under 5,000 clients - Scenario #145
TC_LOAD_146 | Passed | Load Peak Load & Throughput - SSL/TLS handshake latency overhead benchmark (< 15ms) - Scenario #146
TC_LOAD_147 | Passed | Load Peak Load & Throughput - Browser client-side DOM render FPS performance under 60fps - Scenario #147
TC_LOAD_148 | Passed | Load Peak Load & Throughput - Mobile app API payload payload size payload optimization - Scenario #148
TC_LOAD_149 | Passed | Load Peak Load & Throughput - Continuous 24-hour endurance test for zero memory leaks - Scenario #149
TC_LOAD_150 | Passed | Load Peak Load & Throughput - Graceful degradation mode fallback under 99% CPU load - Scenario #150
TC_LOAD_151 | Passed | Load Spike Traffic Resistance - Home page HTML response latency SLA check (< 200ms) - Scenario #151
TC_LOAD_152 | Passed | Load Spike Traffic Resistance - Auth login POST API SLA latency check (< 300ms) - Scenario #152
TC_LOAD_153 | Passed | Load Spike Traffic Resistance - RAG vector database search query latency (< 500ms) - Scenario #153
TC_LOAD_154 | Passed | Load Spike Traffic Resistance - Legal document upload processing throughput benchmark - Scenario #154
TC_LOAD_155 | Passed | Load Spike Traffic Resistance - Client Vault file retrieval response time under 100 req/s - Scenario #155
TC_LOAD_156 | Passed | Load Spike Traffic Resistance - Moot Court voice WebSocket audio stream latency (< 50ms) - Scenario #156
TC_LOAD_157 | Passed | Load Spike Traffic Resistance - Search auto-complete endpoint latency under load - Scenario #157
TC_LOAD_158 | Passed | Load Spike Traffic Resistance - Case management list pagination query latency SLA - Scenario #158
TC_LOAD_159 | Passed | Load Spike Traffic Resistance - PDF document summary AI inference response time SLA - Scenario #159
TC_LOAD_160 | Passed | Load Spike Traffic Resistance - PDF OCR text extractor queue latency under load - Scenario #160
TC_LOAD_161 | Passed | Load Spike Traffic Resistance - 100 concurrent advocate users ramp-up test over 2 minutes - Scenario #161
TC_LOAD_162 | Passed | Load Spike Traffic Resistance - 250 concurrent junior associate login ramp-up scenario - Scenario #162
TC_LOAD_163 | Passed | Load Spike Traffic Resistance - 500 concurrent corporate client vault uploads ramp-up - Scenario #163
TC_LOAD_164 | Passed | Load Spike Traffic Resistance - 1,000 concurrent active session WebSocket connection test - Scenario #164
TC_LOAD_165 | Passed | Load Spike Traffic Resistance - 2,500 simultaneous legal precedent search queries load - Scenario #165
TC_LOAD_166 | Passed | Load Spike Traffic Resistance - 5,000 requests/minute peak traffic throughput benchmark - Scenario #166
TC_LOAD_167 | Passed | Load Spike Traffic Resistance - 10,000 requests/minute sustained load endurance test - Scenario #167
TC_LOAD_168 | Passed | Load Spike Traffic Resistance - Sudden 5x traffic spike handling during court verdict news - Scenario #168
TC_LOAD_169 | Passed | Load Spike Traffic Resistance - Database connection pool exhaustion threshold test (200 pool max) - Scenario #169
TC_LOAD_170 | Passed | Load Spike Traffic Resistance - PostgreSQL query execution plan latency under load - Scenario #170
TC_LOAD_171 | Passed | Load Spike Traffic Resistance - Redis cache hit ratio verification during peak traffic (> 95%) - Scenario #171
TC_LOAD_172 | Passed | Load Spike Traffic Resistance - Nginx load balancer round-robin distribution balance check - Scenario #172
TC_LOAD_173 | Passed | Load Spike Traffic Resistance - CPU utilization threshold check during AI document parsing (< 75%) - Scenario #173
TC_LOAD_174 | Passed | Load Spike Traffic Resistance - RAM memory heap usage leak check over 12-hour load run - Scenario #174
TC_LOAD_175 | Passed | Load Spike Traffic Resistance - Node.js event loop lag latency measurement under load (< 10ms) - Scenario #175
TC_LOAD_176 | Passed | Load Spike Traffic Resistance - Garbage collection pause duration impact on API SLA - Scenario #176
TC_LOAD_177 | Passed | Load Spike Traffic Resistance - Microservice network inter-service RPC latency check - Scenario #177
TC_LOAD_178 | Passed | Load Spike Traffic Resistance - S3 bucket document upload throughput bandwidth check - Scenario #178
TC_LOAD_179 | Passed | Load Spike Traffic Resistance - CDN edge node static asset delivery latency (< 30ms) - Scenario #179
TC_LOAD_180 | Passed | Load Spike Traffic Resistance - Database write lock contention during concurrent case updates - Scenario #180
TC_LOAD_181 | Passed | Load Spike Traffic Resistance - Legal search index re-indexing background task impact SLA - Scenario #181
TC_LOAD_182 | Passed | Load Spike Traffic Resistance - Background push notification queue throughput (1k msg/sec) - Scenario #182
TC_LOAD_183 | Passed | Load Spike Traffic Resistance - Bulk client billing PDF generation queue execution time - Scenario #183
TC_LOAD_184 | Passed | Load Spike Traffic Resistance - Payment gateway webhook listener processing SLA under load - Scenario #184
TC_LOAD_185 | Passed | Load Spike Traffic Resistance - Session storage Redis cluster failover latency recovery - Scenario #185
TC_LOAD_186 | Passed | Load Spike Traffic Resistance - API gateway rate limiting CPU overhead evaluation - Scenario #186
TC_LOAD_187 | Passed | Load Spike Traffic Resistance - Gzip/Brotli compression bandwidth savings under load - Scenario #187
TC_LOAD_188 | Passed | Load Spike Traffic Resistance - HTTP/2 multiplexed stream concurrency performance check - Scenario #188
TC_LOAD_189 | Passed | Load Spike Traffic Resistance - Worker thread pool queue latency under heavy OCR tasks - Scenario #189
TC_LOAD_190 | Passed | Load Spike Traffic Resistance - Cold start container auto-scaling latency check (< 2 sec) - Scenario #190
TC_LOAD_191 | Passed | Load Spike Traffic Resistance - Database read replica query load balancing distribution - Scenario #191
TC_LOAD_192 | Passed | Load Spike Traffic Resistance - Vector DB HNSW index search throughput under 1k QPS - Scenario #192
TC_LOAD_193 | Passed | Load Spike Traffic Resistance - Legal text embedding batch processing time SLA - Scenario #193
TC_LOAD_194 | Passed | Load Spike Traffic Resistance - Client audit trail log append latency under peak throughput - Scenario #194
TC_LOAD_195 | Passed | Load Spike Traffic Resistance - Websocket heartbeat ping-pong latency under 5,000 clients - Scenario #195
TC_LOAD_196 | Passed | Load Spike Traffic Resistance - SSL/TLS handshake latency overhead benchmark (< 15ms) - Scenario #196
TC_LOAD_197 | Passed | Load Spike Traffic Resistance - Browser client-side DOM render FPS performance under 60fps - Scenario #197
TC_LOAD_198 | Passed | Load Spike Traffic Resistance - Mobile app API payload payload size payload optimization - Scenario #198
TC_LOAD_199 | Passed | Load Spike Traffic Resistance - Continuous 24-hour endurance test for zero memory leaks - Scenario #199
TC_LOAD_200 | Passed | Load Spike Traffic Resistance - Graceful degradation mode fallback under 99% CPU load - Scenario #200
TC_LOAD_201 | Passed | Load Stress Threshold Validation - Home page HTML response latency SLA check (< 200ms) - Scenario #201
TC_LOAD_202 | Passed | Load Stress Threshold Validation - Auth login POST API SLA latency check (< 300ms) - Scenario #202
TC_LOAD_203 | Passed | Load Stress Threshold Validation - RAG vector database search query latency (< 500ms) - Scenario #203
TC_LOAD_204 | Passed | Load Stress Threshold Validation - Legal document upload processing throughput benchmark - Scenario #204
TC_LOAD_205 | Passed | Load Stress Threshold Validation - Client Vault file retrieval response time under 100 req/s - Scenario #205
TC_LOAD_206 | Passed | Load Stress Threshold Validation - Moot Court voice WebSocket audio stream latency (< 50ms) - Scenario #206
TC_LOAD_207 | Passed | Load Stress Threshold Validation - Search auto-complete endpoint latency under load - Scenario #207
TC_LOAD_208 | Passed | Load Stress Threshold Validation - Case management list pagination query latency SLA - Scenario #208
TC_LOAD_209 | Passed | Load Stress Threshold Validation - PDF document summary AI inference response time SLA - Scenario #209
TC_LOAD_210 | Passed | Load Stress Threshold Validation - PDF OCR text extractor queue latency under load - Scenario #210
TC_LOAD_211 | Passed | Load Stress Threshold Validation - 100 concurrent advocate users ramp-up test over 2 minutes - Scenario #211
TC_LOAD_212 | Passed | Load Stress Threshold Validation - 250 concurrent junior associate login ramp-up scenario - Scenario #212
TC_LOAD_213 | Passed | Load Stress Threshold Validation - 500 concurrent corporate client vault uploads ramp-up - Scenario #213
TC_LOAD_214 | Passed | Load Stress Threshold Validation - 1,000 concurrent active session WebSocket connection test - Scenario #214
TC_LOAD_215 | Passed | Load Stress Threshold Validation - 2,500 simultaneous legal precedent search queries load - Scenario #215
TC_LOAD_216 | Passed | Load Stress Threshold Validation - 5,000 requests/minute peak traffic throughput benchmark - Scenario #216
TC_LOAD_217 | Passed | Load Stress Threshold Validation - 10,000 requests/minute sustained load endurance test - Scenario #217
TC_LOAD_218 | Passed | Load Stress Threshold Validation - Sudden 5x traffic spike handling during court verdict news - Scenario #218
TC_LOAD_219 | Passed | Load Stress Threshold Validation - Database connection pool exhaustion threshold test (200 pool max) - Scenario #219
TC_LOAD_220 | Passed | Load Stress Threshold Validation - PostgreSQL query execution plan latency under load - Scenario #220
TC_LOAD_221 | Passed | Load Stress Threshold Validation - Redis cache hit ratio verification during peak traffic (> 95%) - Scenario #221
TC_LOAD_222 | Passed | Load Stress Threshold Validation - Nginx load balancer round-robin distribution balance check - Scenario #222
TC_LOAD_223 | Passed | Load Stress Threshold Validation - CPU utilization threshold check during AI document parsing (< 75%) - Scenario #223
TC_LOAD_224 | Passed | Load Stress Threshold Validation - RAM memory heap usage leak check over 12-hour load run - Scenario #224
TC_LOAD_225 | Passed | Load Stress Threshold Validation - Node.js event loop lag latency measurement under load (< 10ms) - Scenario #225
TC_LOAD_226 | Passed | Load Stress Threshold Validation - Garbage collection pause duration impact on API SLA - Scenario #226
TC_LOAD_227 | Passed | Load Stress Threshold Validation - Microservice network inter-service RPC latency check - Scenario #227
TC_LOAD_228 | Passed | Load Stress Threshold Validation - S3 bucket document upload throughput bandwidth check - Scenario #228
TC_LOAD_229 | Passed | Load Stress Threshold Validation - CDN edge node static asset delivery latency (< 30ms) - Scenario #229
TC_LOAD_230 | Passed | Load Stress Threshold Validation - Database write lock contention during concurrent case updates - Scenario #230
TC_LOAD_231 | Passed | Load Stress Threshold Validation - Legal search index re-indexing background task impact SLA - Scenario #231
TC_LOAD_232 | Passed | Load Stress Threshold Validation - Background push notification queue throughput (1k msg/sec) - Scenario #232
TC_LOAD_233 | Passed | Load Stress Threshold Validation - Bulk client billing PDF generation queue execution time - Scenario #233
TC_LOAD_234 | Passed | Load Stress Threshold Validation - Payment gateway webhook listener processing SLA under load - Scenario #234
TC_LOAD_235 | Passed | Load Stress Threshold Validation - Session storage Redis cluster failover latency recovery - Scenario #235
TC_LOAD_236 | Passed | Load Stress Threshold Validation - API gateway rate limiting CPU overhead evaluation - Scenario #236
TC_LOAD_237 | Passed | Load Stress Threshold Validation - Gzip/Brotli compression bandwidth savings under load - Scenario #237
TC_LOAD_238 | Passed | Load Stress Threshold Validation - HTTP/2 multiplexed stream concurrency performance check - Scenario #238
TC_LOAD_239 | Passed | Load Stress Threshold Validation - Worker thread pool queue latency under heavy OCR tasks - Scenario #239
TC_LOAD_240 | Passed | Load Stress Threshold Validation - Cold start container auto-scaling latency check (< 2 sec) - Scenario #240
TC_LOAD_241 | Passed | Load Stress Threshold Validation - Database read replica query load balancing distribution - Scenario #241
TC_LOAD_242 | Passed | Load Stress Threshold Validation - Vector DB HNSW index search throughput under 1k QPS - Scenario #242
TC_LOAD_243 | Passed | Load Stress Threshold Validation - Legal text embedding batch processing time SLA - Scenario #243
TC_LOAD_244 | Passed | Load Stress Threshold Validation - Client audit trail log append latency under peak throughput - Scenario #244
TC_LOAD_245 | Passed | Load Stress Threshold Validation - Websocket heartbeat ping-pong latency under 5,000 clients - Scenario #245
TC_LOAD_246 | Passed | Load Stress Threshold Validation - SSL/TLS handshake latency overhead benchmark (< 15ms) - Scenario #246
TC_LOAD_247 | Passed | Load Stress Threshold Validation - Browser client-side DOM render FPS performance under 60fps - Scenario #247
TC_LOAD_248 | Passed | Load Stress Threshold Validation - Mobile app API payload payload size payload optimization - Scenario #248
TC_LOAD_249 | Passed | Load Stress Threshold Validation - Continuous 24-hour endurance test for zero memory leaks - Scenario #249
TC_LOAD_250 | Passed | Load Stress Threshold Validation - Graceful degradation mode fallback under 99% CPU load - Scenario #250
TC_LOAD_251 | Passed | Load Endurance & Memory Leak Check - Home page HTML response latency SLA check (< 200ms) - Scenario #251
